
Currently Loaded Modules:
  1) autotools      4) rocm/6.0.2     7) openmpi4/4.1.5
  2) cmake/3.25.2   5) gnu12/12.2.0   8) hpcfund
  3) prun/2.3       6) ucx/1.14.0     9) rocshmem/1.6.3

 

1, 256, 1
Rank 0, ROC_SHMEM 
Rank 7, ROC_SHMEM 
Rank 5, ROC_SHMEM 
Rank 2, ROC_SHMEM 
Rank 6, ROC_SHMEM 
Rank 1, ROC_SHMEM 
Rank 3, ROC_SHMEM 
Rank 4, ROC_SHMEM 
IN USE - mpi 0/8, roc_shmem 0/8 , ndevices=8,cur=0, GPU_ID=N/A,node=t007-009.hpcfund
max_blocks=1, max_threads=256, iter=1
IN USE - mpi 1/8, roc_shmem 1/8 , ndevices=8,cur=1, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 2/8, roc_shmem 2/8 , ndevices=8,cur=2, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 3/8, roc_shmem 3/8 , ndevices=8,cur=3, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 4/8, roc_shmem 4/8 , ndevices=8,cur=4, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 5/8, roc_shmem 5/8 , ndevices=8,cur=5, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 6/8, roc_shmem 6/8 , ndevices=8,cur=6, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 7/8, roc_shmem 7/8 , ndevices=8,cur=7, GPU_ID=N/A,node=t007-009.hpcfund
peer,1,size,32, iter, 1, time, 0.052318, bw, 0.000570
peer,1,size,64, iter, 1, time, 0.053120, bw, 0.001122
peer,1,size,128, iter, 1, time, 0.047840, bw, 0.002492
peer,1,size,256, iter, 1, time, 0.048320, bw, 0.004934
peer,1,size,512, iter, 1, time, 0.053600, bw, 0.008896
peer,1,size,1024, iter, 1, time, 0.054240, bw, 0.017583
peer,1,size,2048, iter, 1, time, 0.048800, bw, 0.039085
peer,1,size,4096, iter, 1, time, 0.050720, bw, 0.075211
peer,1,size,8192, iter, 1, time, 0.056480, bw, 0.135081
peer,1,size,16384, iter, 1, time, 0.059360, bw, 0.257055
peer,1,size,32768, iter, 1, time, 0.059680, bw, 0.511354
peer,1,size,65536, iter, 1, time, 0.069600, bw, 0.876943
peer,1,size,131072, iter, 1, time, 0.089920, bw, 1.357545
peer,1,size,262144, iter, 1, time, 0.128160, bw, 1.904969
peer,1,size,524288, iter, 1, time, 0.200000, bw, 2.441408
peer,1,size,1048576, iter, 1, time, 0.345280, bw, 2.828323
peer,1,size,2097152, iter, 1, time, 0.646560, bw, 3.020797
peer,1,size,4194304, iter, 1, time, 1.251360, bw, 3.121606
peer,1,size,8388608, iter, 1, time, 2.506238, bw, 3.117224
peer,1,size,16777216, iter, 1, time, 4.909118, bw, 3.182855
peer,1,size,33554432, iter, 1, time, 9.748001, bw, 3.205788
peer,2,size,32, iter, 1, time, 0.047840, bw, 0.000623
peer,2,size,64, iter, 1, time, 0.052160, bw, 0.001143
peer,2,size,128, iter, 1, time, 0.052800, bw, 0.002258
peer,2,size,256, iter, 1, time, 0.047520, bw, 0.005017
peer,2,size,512, iter, 1, time, 0.048160, bw, 0.009901
peer,2,size,1024, iter, 1, time, 0.047360, bw, 0.020137
peer,2,size,2048, iter, 1, time, 0.048160, bw, 0.039604
peer,2,size,4096, iter, 1, time, 0.048640, bw, 0.078427
peer,2,size,8192, iter, 1, time, 0.052320, bw, 0.145822
peer,2,size,16384, iter, 1, time, 0.052640, bw, 0.289871
peer,2,size,32768, iter, 1, time, 0.058560, bw, 0.521134
peer,2,size,65536, iter, 1, time, 0.068000, bw, 0.897577
peer,2,size,131072, iter, 1, time, 0.177120, bw, 0.689196
peer,2,size,262144, iter, 1, time, 0.133120, bw, 1.833990
peer,2,size,524288, iter, 1, time, 0.211680, bw, 2.306697
peer,2,size,1048576, iter, 1, time, 0.358240, bw, 2.726003
peer,2,size,2097152, iter, 1, time, 0.667840, bw, 2.924543
peer,2,size,4194304, iter, 1, time, 1.291040, bw, 3.025664
peer,2,size,8388608, iter, 1, time, 2.607680, bw, 2.995960
peer,2,size,16777216, iter, 1, time, 5.078241, bw, 3.076855
peer,2,size,33554432, iter, 1, time, 10.160160, bw, 3.075742
peer,3,size,32, iter, 1, time, 0.047200, bw, 0.000631
peer,3,size,64, iter, 1, time, 0.052800, bw, 0.001129
peer,3,size,128, iter, 1, time, 0.052320, bw, 0.002278
peer,3,size,256, iter, 1, time, 0.048160, bw, 0.004951
peer,3,size,512, iter, 1, time, 0.047360, bw, 0.010068
peer,3,size,1024, iter, 1, time, 0.047520, bw, 0.020069
peer,3,size,2048, iter, 1, time, 0.048320, bw, 0.039473
peer,3,size,4096, iter, 1, time, 0.054560, bw, 0.069918
peer,3,size,8192, iter, 1, time, 0.056640, bw, 0.134700
peer,3,size,16384, iter, 1, time, 0.054080, bw, 0.282152
peer,3,size,32768, iter, 1, time, 0.058240, bw, 0.523997
peer,3,size,65536, iter, 1, time, 0.069280, bw, 0.880993
peer,3,size,131072, iter, 1, time, 0.089920, bw, 1.357545
peer,3,size,262144, iter, 1, time, 0.131200, bw, 1.860829
peer,3,size,524288, iter, 1, time, 0.210400, bw, 2.320730
peer,3,size,1048576, iter, 1, time, 0.365760, bw, 2.669956
peer,3,size,2097152, iter, 1, time, 0.674400, bw, 2.896095
peer,3,size,4194304, iter, 1, time, 1.314240, bw, 2.972252
peer,3,size,8388608, iter, 1, time, 2.637601, bw, 2.961974
peer,3,size,16777216, iter, 1, time, 5.159200, bw, 3.028572
peer,3,size,33554432, iter, 1, time, 10.141281, bw, 3.081467
peer,4,size,32, iter, 1, time, 0.046560, bw, 0.000640
peer,4,size,64, iter, 1, time, 0.046880, bw, 0.001271
peer,4,size,128, iter, 1, time, 0.046080, bw, 0.002587
peer,4,size,256, iter, 1, time, 0.047200, bw, 0.005051
peer,4,size,512, iter, 1, time, 0.046080, bw, 0.010348
peer,4,size,1024, iter, 1, time, 0.045920, bw, 0.020768
peer,4,size,2048, iter, 1, time, 0.046080, bw, 0.041392
peer,4,size,4096, iter, 1, time, 0.047840, bw, 0.079739
peer,4,size,8192, iter, 1, time, 0.050560, bw, 0.150898
peer,4,size,16384, iter, 1, time, 0.052960, bw, 0.288119
peer,4,size,32768, iter, 1, time, 0.057760, bw, 0.528352
peer,4,size,65536, iter, 1, time, 0.068320, bw, 0.893372
peer,4,size,131072, iter, 1, time, 0.087200, bw, 1.399890
peer,4,size,262144, iter, 1, time, 0.125760, bw, 1.941323
peer,4,size,524288, iter, 1, time, 0.203040, bw, 2.404854
peer,4,size,1048576, iter, 1, time, 0.363680, bw, 2.685227
peer,4,size,2097152, iter, 1, time, 0.678240, bw, 2.879698
peer,4,size,4194304, iter, 1, time, 1.315360, bw, 2.969722
peer,4,size,8388608, iter, 1, time, 2.655360, bw, 2.942164
peer,4,size,16777216, iter, 1, time, 5.196640, bw, 3.006753
peer,4,size,33554432, iter, 1, time, 10.297762, bw, 3.034642
peer,5,size,32, iter, 1, time, 0.052800, bw, 0.000564
peer,5,size,64, iter, 1, time, 0.052000, bw, 0.001146
peer,5,size,128, iter, 1, time, 0.054240, bw, 0.002198
peer,5,size,256, iter, 1, time, 0.047040, bw, 0.005068
peer,5,size,512, iter, 1, time, 0.048480, bw, 0.009836
peer,5,size,1024, iter, 1, time, 0.047520, bw, 0.020069
peer,5,size,2048, iter, 1, time, 0.054080, bw, 0.035269
peer,5,size,4096, iter, 1, time, 0.054400, bw, 0.070123
peer,5,size,8192, iter, 1, time, 0.052800, bw, 0.144496
peer,5,size,16384, iter, 1, time, 0.054400, bw, 0.280493
peer,5,size,32768, iter, 1, time, 0.063040, bw, 0.484099
peer,5,size,65536, iter, 1, time, 0.073760, bw, 0.827484
peer,5,size,131072, iter, 1, time, 0.088000, bw, 1.387164
peer,5,size,262144, iter, 1, time, 0.127360, bw, 1.916935
peer,5,size,524288, iter, 1, time, 0.202400, bw, 2.412459
peer,5,size,1048576, iter, 1, time, 0.365440, bw, 2.672294
peer,5,size,2097152, iter, 1, time, 0.675200, bw, 2.892663
peer,5,size,4194304, iter, 1, time, 1.309760, bw, 2.982419
peer,5,size,8388608, iter, 1, time, 2.648161, bw, 2.950163
peer,5,size,16777216, iter, 1, time, 5.160160, bw, 3.028009
peer,5,size,33554432, iter, 1, time, 10.154082, bw, 3.077582
peer,6,size,32, iter, 1, time, 0.049440, bw, 0.000603
peer,6,size,64, iter, 1, time, 0.048640, bw, 0.001225
peer,6,size,128, iter, 1, time, 0.053920, bw, 0.002211
peer,6,size,256, iter, 1, time, 0.048480, bw, 0.004918
peer,6,size,512, iter, 1, time, 0.049760, bw, 0.009583
peer,6,size,1024, iter, 1, time, 0.048320, bw, 0.019737
peer,6,size,2048, iter, 1, time, 0.048000, bw, 0.039736
peer,6,size,4096, iter, 1, time, 0.049120, bw, 0.077661
peer,6,size,8192, iter, 1, time, 0.051520, bw, 0.148086
peer,6,size,16384, iter, 1, time, 0.053280, bw, 0.286389
peer,6,size,32768, iter, 1, time, 0.056960, bw, 0.535773
peer,6,size,65536, iter, 1, time, 0.068640, bw, 0.889207
peer,6,size,131072, iter, 1, time, 0.085440, bw, 1.428727
peer,6,size,262144, iter, 1, time, 0.129600, bw, 1.883802
peer,6,size,524288, iter, 1, time, 0.202560, bw, 2.410553
peer,6,size,1048576, iter, 1, time, 0.365760, bw, 2.669956
peer,6,size,2097152, iter, 1, time, 0.663360, bw, 2.944293
peer,6,size,4194304, iter, 1, time, 1.310080, bw, 2.981690
peer,6,size,8388608, iter, 1, time, 2.646400, bw, 2.952126
peer,6,size,16777216, iter, 1, time, 5.112001, bw, 3.056535
peer,6,size,33554432, iter, 1, time, 10.120002, bw, 3.087946
peer,7,size,32, iter, 1, time, 0.052480, bw, 0.000568
